depth on spit sheet,Spit,datum,NW  start,NE  start,SE  start,SW  start,NW  end,NE  end,SE  end,SW  end,center start,center end
0.1,1,1.405,1.625,1.655,1.63,1.63,1.725,1.76,1.74,1.72,1.63,1.73
0.1,2,1.405,1.725,1.76,1.74,1.725,1.82,1.85,1.83,1.835,1.73,1.84
0.1,3,1.405,1.82,1.85,1.83,1.83,1.925,1.915,1.925,1.915,1.84,1.925
0.1,4,1.445,1.963,1.973,1.972,1.955,2.065,2.118,2.07,2.085,1.972,2.085
0.1,5,1.445,2.065,2.118,2.07,2.085,2.16,2.185,2.17,2.18,2.085,2.175
0.1,6,1.445,2.16,2.185,2.17,2.18,2.27,2.278,2.265,2.29,2.175,2.265
0.1,7,1.445,2.27,2.278,2.265,2.29,2.354,2.36,2.34,2.34,2.265,2.34
0.1,8,1.345,2.253,2.265,2.265,2.245,2.354,2.37,2.365,2.37,2.26,2.355
0.1,9,1.345,2.354,2.37,2.365,2.37,2.463,2.47,2.45,2.468,2.355,2.465
0.1,10start,1.345,2.463,2.47,2.45,2.468,,,,,2.465,2.565
0.1,10end,1.36,,,,,2.57,2.605,2.575,2.59,,2.565
0.1,11,1.36,2.57,2.605,2.575,2.59,2.68,2.695,2.685,2.67,2.565,2.67
0.1,12,1.36,2.68,2.695,2.685,2.67,2.79,2.81,2.785,2.79,2.67,2.77
0.1,13,1.36,2.79,2.81,2.79,2.785,2.905,2.92,2.885,2.905,2.77,2.88
0.1,14,1.435,2.905,2.92,2.885,2.905,3.06,3.06,3.06,3.05,2.88,3.03
0.1,15,1.435,3.06,3.06,3.06,3.05,3.145,3.16,3.155,3.15,3.03,3.125
0.1,16,1.435,3.145,3.16,3.155,3.15,3.3,3.305,3.275,3.27,3.125,3.25
0.1,17,1.363,3.22,3.23,3.195,3.193,3.295,3.305,3.265,3.3,3.18,3.265
0.1,18,1.363,3.295,3.305,3.265,3.3,rock,3.395,3.385,3.4,3.265,3.36
0.05,19,1.34,3.37,3.4,3.37,3.375,3.42,3.45,3.42,3.42,3.345,3.425
0.05,20,1.34,3.42,3.45,3.42,3.42,3.475,3.495,3.475,3.457,3.425,3.465
0.05,21,1.34,3.475,3.495,3.475,3.475,3.52,3.545,3.52,3.535,3.465,3.55
0.05,22,1.386,3.57,3.595,3.573,3.575,3.625,3.645,3.625,3.635,3.55,3.59
0.05,23,1.335,3.575,3.595,3.58,3.578,3.625,3.63,3.625,3.62,3.545,3.6
0.05,24,1.34,3.625,3.63,3.625,3.62,3.665,3.675,3.664,3.66,3.6,3.654
0.05,25,1.34,3.665,3.675,3.664,3.66,3.72,3.71,3.716,3.725,3.654,3.704
0.05,26,1.36,3.785,3.755,3.755,3.79,3.79,3.795,3.77,3.78,3.77,3.745
0.05,27,1.36,3.79,3.795,3.72,3.78,3.845,3.845,3.825,3.84,3.745,3.82
0.05,28,1.36,3.845,3.845,3.825,3.84,rock,3.855,3.865,3.895,3.82,3.865
0.05,29,1.355,3.906,3.891,3.873,3.91,3.945,3.95,3.95,3.945,3.864,3.945
0.05,30,1.355,3.945,3.95,3.95,3.945,3.995,3.99,3.99,3.995,3.945,3.995
0.05,31,1.355,3.995,3.99,3.99,3.995,rock,4.4,4.2,rock,3.995,4.2
0.05,32,1.355,rock,4.04,4.02,rock,rock,4.079,4.053,rock,4.02,4.049
0.05,33,1.355,rock,4.079,4.053,rock,rock,4.115,4.105,rock,4.049,4.105
